data_size, chunk_size, N, K, chosen_nodes
2.200000, 0.314286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
116.300003, 16.614286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
214.300003, 30.614286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
183.899994, 26.271428, 10, 7, 1 6 7 9 2 0 3 8 4 5 
56.299999, 8.042857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
161.500000, 23.071429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
73.699997, 10.528571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
49.500000, 7.071429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
133.800003, 19.114286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
86.800003, 12.400000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
146.000000, 20.857143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
133.500000, 19.071429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
143.899994, 20.557142, 10, 7, 1 6 7 9 2 0 3 8 4 5 
69.000000, 9.857143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
153.100006, 21.871429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
181.300003, 25.900000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
178.000000, 25.428571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.314286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
133.899994, 19.128571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
250.000000, 35.714286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
146.100006, 20.871429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
212.600006, 30.371429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
118.300003, 16.900000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
183.300003, 26.185715, 10, 7, 1 6 7 9 2 0 3 8 4 5 
140.699997, 20.100000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.500000, 0.357143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.328571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
163.199997, 23.314285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
73.099998, 10.442857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
65.099998, 9.300000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
149.399994, 21.342856, 10, 7, 1 6 7 9 2 0 3 8 4 5 
127.099998, 18.157143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
87.800003, 12.542858, 10, 7, 1 6 7 9 2 0 3 8 4 5 
50.299999, 7.185714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
159.600006, 22.800001, 10, 7, 1 6 7 9 2 0 3 8 4 5 
164.399994, 23.485713, 10, 7, 1 6 7 9 2 0 3 8 4 5 
182.600006, 26.085715, 10, 7, 1 6 7 9 2 0 3 8 4 5 
191.800003, 27.400000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
135.100006, 19.300001, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.314286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
66.099998, 9.442857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
134.699997, 19.242857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
128.600006, 18.371429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
212.800003, 30.400000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
130.100006, 18.585715, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
183.699997, 26.242857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
138.399994, 19.771428, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
245.800003, 35.114286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
74.500000, 10.642857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
63.200001, 9.028572, 10, 7, 1 6 7 9 2 0 3 8 4 5 
178.199997, 25.457142, 10, 7, 1 6 7 9 2 0 3 8 4 5 
147.899994, 21.128571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
134.000000, 19.142857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
87.599998, 12.514285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
49.299999, 7.042857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
131.399994, 18.771428, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.328571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
135.800003, 19.400000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
65.400002, 9.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
161.300003, 23.042858, 10, 7, 1 6 7 9 2 0 3 8 4 5 
179.899994, 25.699999, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.328571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
188.899994, 26.985713, 10, 7, 1 6 7 9 2 0 3 8 4 5 
253.399994, 36.199999, 10, 7, 1 6 7 9 2 0 3 8 4 5 
149.199997, 21.314285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
135.399994, 19.342856, 10, 7, 1 6 7 9 2 0 3 8 4 5 
136.000000, 19.428571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
206.500000, 29.500000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
119.000000, 17.000000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.500000, 0.357143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
183.600006, 26.228572, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.700000, 0.385714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
73.900002, 10.557143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
65.400002, 9.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
