data_size, chunk_size, N, K, chosen_nodes
133.899994, 14.877777, 10, 9, 1 6 7 9 2 0 3 8 4 5 
250.000000, 27.777778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
146.100006, 16.233334, 10, 9, 1 6 7 9 2 0 3 8 4 5 
212.600006, 23.622223, 10, 9, 1 6 7 9 2 0 3 8 4 5 
118.300003, 13.144445, 10, 9, 1 6 7 9 2 0 3 8 4 5 
183.300003, 20.366667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
140.699997, 15.633333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.500000, 0.277778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.255556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
163.199997, 18.133333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
73.099998, 8.122222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
65.099998, 7.233333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
149.399994, 16.599999, 10, 9, 1 6 7 9 2 0 3 8 4 5 
127.099998, 14.122222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
87.800003, 9.755556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
50.299999, 5.588889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.266667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
159.600006, 17.733334, 10, 9, 1 6 7 9 2 0 3 8 4 5 
164.399994, 18.266666, 10, 9, 1 6 7 9 2 0 3 8 4 5 
182.600006, 20.288890, 10, 9, 1 6 7 9 2 0 3 8 4 5 
191.800003, 21.311111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
135.100006, 15.011112, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.200000, 0.244444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
66.099998, 7.344444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
134.699997, 14.966666, 10, 9, 1 6 7 9 2 0 3 8 4 5 
128.600006, 14.288890, 10, 9, 1 6 7 9 2 0 3 8 4 5 
212.800003, 23.644445, 10, 9, 1 6 7 9 2 0 3 8 4 5 
130.100006, 14.455556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.266667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
183.699997, 20.411111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
138.399994, 15.377777, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.266667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
245.800003, 27.311111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
74.500000, 8.277778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
63.200001, 7.022222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
178.199997, 19.800000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
147.899994, 16.433333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
134.000000, 14.888889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
87.599998, 9.733333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
49.299999, 5.477778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
131.399994, 14.599999, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.255556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
135.800003, 15.088889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
65.400002, 7.266667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
161.300003, 17.922223, 10, 9, 1 6 7 9 2 0 3 8 4 5 
179.899994, 19.988888, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.255556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
188.899994, 20.988888, 10, 9, 1 6 7 9 2 0 3 8 4 5 
253.399994, 28.155555, 10, 9, 1 6 7 9 2 0 3 8 4 5 
149.199997, 16.577777, 10, 9, 1 6 7 9 2 0 3 8 4 5 
135.399994, 15.044444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
136.000000, 15.111111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
206.500000, 22.944444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
119.000000, 13.222222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.500000, 0.277778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
183.600006, 20.400001, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.700000, 0.300000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
73.900002, 8.211111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
65.400002, 7.266667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
182.600006, 20.288890, 10, 9, 1 6 7 9 2 0 3 8 4 5 
50.700001, 5.633333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
135.300003, 15.033334, 10, 9, 1 6 7 9 2 0 3 8 4 5 
89.300003, 9.922223, 10, 9, 1 6 7 9 2 0 3 8 4 5 
152.899994, 16.988888, 10, 9, 1 6 7 9 2 0 3 8 4 5 
153.899994, 17.099999, 10, 9, 1 6 7 9 2 0 3 8 4 5 
125.000000, 13.888889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
136.100006, 15.122223, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.255556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
148.100006, 16.455556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
69.400002, 7.711111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
158.800003, 17.644445, 10, 9, 1 6 7 9 2 0 3 8 4 5 
183.399994, 20.377777, 10, 9, 1 6 7 9 2 0 3 8 4 5 
199.699997, 22.188889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
191.399994, 21.266666, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.100000, 0.233333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.266667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
245.600006, 27.288890, 10, 9, 1 6 7 9 2 0 3 8 4 5 
137.899994, 15.322222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
127.500000, 14.166667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
124.900002, 13.877778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.255556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
184.899994, 20.544444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
132.500000, 14.722222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
73.400002, 8.155556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
64.300003, 7.144445, 10, 9, 1 6 7 9 2 0 3 8 4 5 
168.800003, 18.755556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
154.800003, 17.200000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
85.599998, 9.511111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
127.800003, 14.200000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
50.200001, 5.577778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
150.300003, 16.700000, 10, 9, 1 6 7 9 2 0 3 8 4 5 
80.599998, 8.955555, 10, 9, 1 6 7 9 2 0 3 8 4 5 
169.100006, 18.788890, 10, 9, 1 6 7 9 2 0 3 8 4 5 
190.199997, 21.133333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
149.899994, 16.655555, 10, 9, 1 6 7 9 2 0 3 8 4 5 
188.500000, 20.944444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.600000, 0.288889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.255556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.800000, 0.311111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
256.600006, 28.511112, 10, 9, 1 6 7 9 2 0 3 8 4 5 
147.199997, 16.355555, 10, 9, 1 6 7 9 2 0 3 8 4 5 
134.500000, 14.944444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
214.500000, 23.833333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
189.600006, 21.066667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.800000, 0.311111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
122.599998, 13.622222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
138.199997, 15.355555, 10, 9, 1 6 7 9 2 0 3 8 4 5 
74.300003, 8.255556, 10, 9, 1 6 7 9 2 0 3 8 4 5 
66.099998, 7.344444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
164.000000, 18.222222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
50.799999, 5.644444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
133.000000, 14.777778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
89.000000, 9.888889, 10, 9, 1 6 7 9 2 0 3 8 4 5 
172.300003, 19.144445, 10, 9, 1 6 7 9 2 0 3 8 4 5 
151.300003, 16.811111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.800000, 0.311111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
156.699997, 17.411111, 10, 9, 1 6 7 9 2 0 3 8 4 5 
83.900002, 9.322222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
174.000000, 19.333333, 10, 9, 1 6 7 9 2 0 3 8 4 5 
185.199997, 20.577777, 10, 9, 1 6 7 9 2 0 3 8 4 5 
195.000000, 21.666667, 10, 9, 1 6 7 9 2 0 3 8 4 5 
2.500000, 0.277778, 10, 9, 1 6 7 9 2 0 3 8 4 5 
139.899994, 15.544444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
3.100000, 0.344444, 10, 9, 1 6 7 9 2 0 3 8 4 5 
258.500000, 28.722222, 10, 9, 1 6 7 9 2 0 3 8 4 5 
153.100006, 17.011112, 10, 9, 1 6 7 9 2 0 3 8 4 5 
