ID,Size,Total_Transfer_Time,Transfer_Time_Parralelized,Chunking_Time,N,K,Total_Read_Time,Read_Time_Parralelized,Reconstruct_Time
452,0.000718,0.000005,0.000001,0.000017,10,8,0.000005,0.000001,0.000051
453,353.660950,2.596807,0.401887,8.233975,10,8,2.443178,0.394711,25.122445
454,0.050941,0.000374,0.000058,0.001186,10,8,0.000352,0.000057,0.003619
456,0.000377,0.000003,0.000000,0.000009,10,8,0.000003,0.000000,0.000027
457,347518.750000,2551.707237,394.907670,8090.972044,10,8,2400.746620,387.855748,24686.131764
459,46755.128906,343.306371,53.130828,1088.558361,10,8,322.996148,52.182064,3321.269062
460,37667.152344,276.576574,42.803582,876.971031,10,8,260.214128,42.039233,2675.701055
462,4816.228027,35.363859,5.472986,112.131982,10,8,33.271710,5.375254,342.122662
463,0.000059,0.000000,0.000000,0.000001,10,8,0.000000,0.000000,0.000004
465,0.000381,0.000003,0.000000,0.000009,10,8,0.000003,0.000000,0.000027
466,146904.203125,1078.665592,166.936594,3420.240780,10,8,1014.851052,163.955584,10435.398133
469,10788.030273,79.212690,12.259125,251.168178,10,8,74.526417,12.040212,766.331994
470,3406.768066,25.014693,3.871327,79.316771,10,8,23.534808,3.802197,242.001116
471,13487.672852,99.035210,15.326901,314.021571,10,8,93.176224,15.053206,958.102172
472,1293.091064,9.494710,1.469422,30.105897,10,8,8.932997,1.443182,91.855235
473,8894.966797,65.312594,10.107917,207.093654,10,8,61.448660,9.927418,631.857482
475,360116.312500,2644.206682,409.223082,8384.269963,10,8,2487.773738,401.915527,25581.004595
