id,size,submit_time,time_spent
944,1,17406,0
945,3241.237648,17409,0
946,1,17410,0
947,1,17414,0
948,1,17426,0
949,1612.680632,17431,0
950,1,17433,0
951,1000.000289,17435,0
952,1,17438,0
953,1,17448,0
954,1,17455,0
955,1000.000193,17463,0
956,1,17468,0
957,1,17472,0
958,943.298066,17473,0
959,1,17481,0
960,1000.00015,17486,0
961,1,17488,0
962,1,17493,0
963,1,17498,0
964,512.220133,17499,0
965,1,17509,0
966,1,17516,0
967,1,17517,0
968,5727.369296,17518,0
969,7602302.485416,17519,0
970,1,17521,0
971,1000.000417,17524,0
972,1,17529,0
973,1,17532,0
974,4298.693439,17534,0
975,866.029573,17537,0
976,1,17538,0
977,1,17539,0
978,1,17545,0
979,1,17549,0
980,232.619772,17553,0
981,1000.000388,17562,0
982,579.005041,17566,0
983,1,17591,0
984,37.746914,17595,0
985,776.634564,17596,0
986,1000.000159,17629,0
987,21320.232682,17630,0
988,1948.588136,17637,0
989,1.210232,17654,0
990,2.81007,17691,0
991,1734.528287,17703,0
992,136664.055826,17716,0
993,95.098803,17717,0
994,293179.929884,17724,0
995,1.43152,17725,0
996,4312.426752,17732,0
997,1,17737,0
998,1000.000336,17767,0
999,2.240519,17818,0
1000,1041.173666,17819,0
1001,47610.932926,17848,0
1002,1592.685238,17870,0
1003,3.435942,17920,0
1004,1000.000201,17994,0
1005,1,18032,0
1006,51.121397,18032,0
1007,859.036613,18056,0
1008,1,18062,0
1009,448.719212,18078,0
1010,214.335572,18080,0
1011,3633.803217,18239,0
1012,1,18240,0
1013,2595.660191,18277,0
1014,1,18313,0
1015,1,18358,0
1016,4443.576192,18388,0
1017,3118.826856,18493,0
1018,1,18495,0
1019,1,18569,0
1020,55.019272,18596,0
1021,1,18608,0
1022,3850.326507,18624,0
1023,180.158389,18642,0
1024,676.036668,18669,0
1025,1,18670,0
1026,904.285416,18670,0
1027,2141.746582,18671,0
1028,834.232072,18672,0
1029,1,18742,0
1030,250.796496,18745,0
1031,5171.421975,18800,0
1032,1.283225,18815,0
1033,1.50299,18834,0
1034,1,18852,0
1035,2970.910994,18967,0
1036,1,18971,0
1037,1.106132,18971,0
1038,453.652758,18981,0
1039,5352.863616,18983,0
1040,1.50285,18988,0
1041,14.073394,19109,0
1042,16.963089,19123,0
1043,5746.443217,19156,0
1044,4984.443816,19159,0
1045,283.177728,19179,0
1046,1,19186,0
1047,5746.518465,19215,0
1048,6589.746891,19264,0
1049,2089.988678,19265,0
1050,2982.117573,19265,0
1051,1709.007951,19278,0
1052,229.246357,19351,0
1053,1,19363,0
1054,16.962949,19370,0
1055,6128.947992,19373,0
1056,1,19406,0
1057,443.809954,19416,0
1058,1294.130004,19443,0
1059,168.204384,19459,0
1060,1063.486321,19505,0
1061,88.296007,19522,0
1062,4218.546424,19529,0
1063,224.414673,19551,0
1064,995.551568,19634,0
1065,91.35418,19681,0
1066,4948.964299,19691,0
1067,419.561606,19696,0
1068,1,19732,0
1069,3529.63589,19817,0
1070,777.421548,19908,0
1071,93.549687,19913,0
1072,11924.04687,19960,0
1073,29.729096,19975,0
1074,1,19989,0
1075,14.699831,20012,0
1076,5573.921592,20018,0
1077,728.377829,20046,0
1078,31355.607907,20092,0
1079,4065.205482,20169,0
1080,5694.921823,20378,0
1081,1639.219279,20465,0
1082,1,20466,0
1083,434.281812,20466,0
1084,175.524019,20468,0
1085,207.612188,20468,0
1086,2022.352057,20470,0
1087,262.772087,20470,0
1088,75.814752,20471,0
1089,3.954091,20486,0
1090,77269.45087,20492,0
1091,2.349035,20504,0
1092,1,20540,0
1093,3.562183,20547,0
1094,740.694623,20590,0
1095,5743.085724,20591,0
1096,1,20636,0
1097,207.181873,20661,0
1098,954.938798,20709,0
1099,411.41382,20769,0
1100,7004.383186,20849,0
1101,1,20933,0
1102,4723.67667,21024,0
1103,1,21105,0
1104,9051.043258,21110,0
1105,12.377936,21222,0
1106,5283.445341,21224,0
1107,1,21237,0
1108,1168.544714,21253,0
1109,896.264171,21270,0
1110,1,21286,0
1111,1,21295,0
1112,11883.237837,21325,0
1113,2127.284243,21369,0
1114,1,21369,0
1115,1,21494,0
1116,1,21499,0
1117,281.387364,21501,0
1118,11935.937748,21575,0
1119,1,21603,0
1120,1,21608,0
1121,194.320561,21613,0
1122,1,21615,0
1123,18369.677378,21616,0
1124,1,21626,0
1125,1.093864,21627,0
1126,1,21630,0
1127,1,21636,0
1128,1,21637,0
1129,1,21642,0
1130,1,21647,0
1131,1,21648,0
1132,1,21654,0
1133,1620.147834,21663,0
1134,1,21665,0
1135,1,21666,0
1136,1,21669,0
1137,1,21674,0
1138,1,21676,0
1139,1,21683,0
1140,1,21683,0
1141,1,21690,0
1142,1,21695,0
1143,1,21696,0
1144,1,21705,0
1145,1,21706,0
1146,1,21712,0
1147,1,21721,0
1148,1,21722,0
1149,1,21728,0
1150,445.331382,21728,0
1151,1,21737,0
1152,1,21738,0
1153,1,21742,0
1154,1658.885126,21744,0
1155,1,21748,0
1156,1,21748,0
1157,1,21753,0
1158,1,21757,0
1159,1,21762,0
