ID, Size, Total Transfer Time, Transfer Time Parralelized, Chunking Time, N, K
2591, 71.1, 0.46405524134738396, 0.07181818182156845, 1.3524259053747993, 10, 9
2592, 1.8, 0.011748233927941477, 0.001818181811408563, 0.03534595113364344, 10, 9
2593, 128.8, 0.8406514076456514, 0.1301010101017627, 2.396695982872226, 10, 9
2594, 206.5, 1.3477835067952382, 0.20858585858209566, 3.8335770428552776, 10, 9
2595, 1.9, 0.012400913644618209, 0.0019191919233311307, 0.03730961508551252, 10, 9
2596, 1.8, 0.011748233927941477, 0.001818181811408563, 0.03534595113364344, 10, 9
2597, 162.7, 1.0619098138048841, 0.1643434343351559, 3.020450289939727, 10, 9
2598, 99.6, 0.650068945649682, 0.10060606060380285, 1.8533456513515039, 10, 9
2599, 2.3, 0.015011632264006114, 0.0023232323202219875, 0.04516427089298884, 10, 9
2600, 167.3, 1.091933078415843, 0.16898989899253303, 3.105847163533598, 10, 9
2601, 158.8, 1.0364553069633433, 0.16040404041043738, 2.9480485927623152, 10, 9
2602, 113.2, 0.7388333799677798, 0.11434343433515592, 2.106412929046087, 10, 9
2603, 94.4, 0.6161296031446752, 0.09535353535955603, 1.7565846334094577, 10, 9
2604, 76.1, 0.49668922457773085, 0.07686868687583641, 1.4160602818057173, 10, 9
2605, 136.5, 0.8909077417665923, 0.1378787878731435, 2.539976720978718, 10, 9
2606, 91.4, 0.596549213188519, 0.09232323232360862, 1.7007609692121233, 10, 9
2607, 78.6, 0.513006216116397, 0.07939393938603727, 1.4625800019701627, 10, 9
2608, 124.1, 0.8099754633952836, 0.12535353534939614, 2.309238908963069, 10, 9
2609, 64.5, 0.42097838345807675, 0.06515151514587077, 1.2268842601501344, 10, 9
2610, 105.6, 0.6892297254820903, 0.10666666665876454, 1.9649929797461727, 10, 9
2611, 163.4, 1.0664785714970342, 0.16505050505088134, 3.033445466356186, 10, 9
2612, 177.5, 1.1585064041511968, 0.17929292929104784, 3.295205448459137, 10, 9
2613, 135.3, 0.8830755858141242, 0.13666666666553778, 2.517647255299784, 10, 9
2614, 117.7, 0.768203964862062, 0.11888888888061047, 2.1901484253420884, 10, 9
2615, 119.3, 0.7786468395153435, 0.12050505050204018, 2.2199210462473333, 10, 9
2616, 142.8, 0.9320265606645627, 0.14424242424693975, 2.6572064157931203, 10, 9
2617, 2.2, 0.014358952630276093, 0.0022222222252325577, 0.04320060694111976, 10, 9
2618, 88.8, 0.5795795419331762, 0.0896969697014852, 1.6523804602410999, 10, 9
2619, 157.5, 1.0279704712998772, 0.1590909090909091, 2.923914693703178, 10, 9
2620, 147.2, 0.960744465847847, 0.14868686868047173, 2.739081123282544, 10, 9
2621, 2.0, 0.013053593274190542, 0.0020202020183205604, 0.0392732790373816, 10, 9
2622, 128.7, 0.8399987280062425, 0.13000000000677325, 2.394835194065648, 10, 9
2623, 216.2, 1.4110934342759527, 0.21838383838873018, 4.013653058911918, 10, 9
2624, 1.7, 0.011095554288532657, 0.0017171717164191332, 0.033382287181774356, 10, 9
2625, 73.3, 0.47841419397198126, 0.074040404046801, 1.3942731204496877, 10, 9
2626, 2.0, 0.013053593274190542, 0.0020202020183205604, 0.0392732790373816, 10, 9
2627, 142.3, 0.928763162328498, 0.1437373737381263, 2.6479024717602315, 10, 9
2628, 68.8, 0.44904360907769914, 0.06949494950134646, 1.3086765441601433, 10, 9
2629, 110.1, 0.7186003103763724, 0.11121212120421908, 2.0487284760421742, 10, 9
2630, 169.7, 1.107597390319258, 0.17141414140774444, 3.1504020541043123, 10, 9
2631, 64.3, 0.41967302418341684, 0.06494949495589192, 1.2230799678705992, 10, 9
2632, 162.2, 1.0586464155445663, 0.16383838384327562, 3.011168021070828, 10, 9
2633, 128.8, 0.8406514076456514, 0.1301010101017627, 2.396695982872226, 10, 9
2634, 123.8, 0.8080174244096258, 0.1250505050474947, 2.303656542543335, 10, 9
2635, 90.6, 0.5913277758611176, 0.09151515151289376, 1.6858746587595006, 10, 9
2636, 81.0, 0.5286705280970797, 0.08181818181818182, 1.5072389333280305, 10, 9
