algorithm,id_file,arrival_time,created_at,start_time,waiting_time,processing_time,chunk_time,upload_time,original_size,n,m,resultant_size,chunk_size,overhead,nodes_used,actual_nodes_utilization
hdfs,0,0,0,1717699782432347557,0,7626825028,15.78557,5218.298677,209715200,6,1,629145600,75497516,300.0,"[0, 1, 2, 3, 4, 8]","[128.00004196166992, 128.00004196166992, 128.00004196166992, 72.00004196166992, 72.00004196166992, 72.00004196166992]"
hdfs,1,0,0,1717699790473902525,0,7399129458,58.366259,5458.646282,209715200,6,1,629145600,75497516,300.0,"[0, 1, 2, 3, 4, 8]","[256.00008392333984, 256.00008392333984, 256.00008392333984, 144.00008392333984, 144.00008392333984, 144.00008392333984]"
hdfs,2,0,0,1717699798320340903,0,7330423765,67.877171,5190.073859,209715200,6,1,629145600,75497516,300.0,"[0, 1, 2, 3, 4, 8]","[384.00012588500977, 384.00012588500977, 384.00012588500977, 216.00012588500977, 216.00012588500977, 216.00012588500977]"
hdfs,3,0,0,1717699806071215684,0,8632699736,130.016898,6558.633673,209715200,6,1,629145600,75497516,300.0,"[0, 1, 2, 3, 4, 8]","[512.0001678466797, 512.0001678466797, 512.0001678466797, 288.0001678466797, 288.0001678466797, 288.0001678466797]"
hdfs,4,0,0,1717699815134168012,0,7978051883,131.554827,5532.403348,209715200,6,1,629145600,75497516,300.0,"[0, 1, 2, 3, 4, 8]","[640.0002098083496, 640.0002098083496, 640.0002098083496, 360.0002098083496, 360.0002098083496, 360.0002098083496]"
hdfs,5,0,0,1717699823612463669,0,7620747742,70.88388,5514.251618,209715200,6,1,629145600,75497516,300.0,"[0, 1, 2, 3, 4, 8]","[768.0002517700195, 768.0002517700195, 768.0002517700195, 432.00025177001953, 432.00025177001953, 432.00025177001953]"
hdfs,6,0,0,1717699831754116561,0,8393609986,114.656019,5544.432946,209715200,6,1,629145600,75497516,300.0,"[0, 1, 2, 3, 4, 8]","[896.0002937316895, 896.0002937316895, 896.0002937316895, 504.00029373168945, 504.00029373168945, 504.00029373168945]"
hdfs,7,0,0,1717699840625839762,0,7882695629,185.271329,5383.358888,209715200,6,1,629145600,75497516,300.0,"[0, 1, 2, 3, 4, 8]","[1024.0003356933594, 1024.0003356933594, 1024.0003356933594, 576.0003356933594, 576.0003356933594, 576.0003356933594]"
hdfs,8,0,0,1717699848968953093,0,8801428995,70.828036,5945.383063,209715200,6,1,629145600,75497516,300.0,"[0, 1, 2, 3, 4, 8]","[1152.0003776550293, 1152.0003776550293, 1152.0003776550293, 648.0003776550293, 648.0003776550293, 648.0003776550293]"
hdfs,9,0,0,1717699858252184498,0,12055726628,237.521117,8637.247328,209715200,6,1,629145600,75497516,300.0,"[0, 1, 2, 3, 4, 8]","[1280.0004196166992, 1280.0004196166992, 1280.0004196166992, 720.0004196166992, 720.0004196166992, 720.0004196166992]"
alg2_reduced_complexity,0,0,0,1717699872976849720,0,9411020988,3072.405486,3571.027892,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[100.00000095367432, 100.00000095367432, 100.00000095367432]"
alg2_reduced_complexity,1,0,0,1717699882848095941,0,7753552297,2270.597189,2804.929313,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[200.00000190734863, 200.00000190734863, 200.00000190734863]"
alg2_reduced_complexity,2,0,0,1717699891024342521,0,8229805256,2161.124485,3482.964529,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[300.00000286102295, 300.00000286102295, 300.00000286102295]"
alg2_reduced_complexity,3,0,0,1717699899717547235,0,8793064699,1908.297198,3335.868791,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[400.00000381469727, 400.00000381469727, 400.00000381469727]"
alg2_reduced_complexity,4,0,0,1717699908948633041,0,9096143721,2183.850198,3623.757179,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[500.0000047683716, 500.0000047683716, 500.0000047683716]"
alg2_reduced_complexity,5,0,0,1717699918590772561,0,8916407826,2250.655653,3268.082033,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[600.0000057220459, 600.0000057220459, 600.0000057220459]"
alg2_reduced_complexity,6,0,0,1717699927986486790,0,8246584267,1985.792536,3277.517125,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[700.0000066757202, 700.0000066757202, 700.0000066757202]"
alg2_reduced_complexity,7,0,0,1717699936694899699,0,9390588247,2558.505939,3325.687476,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[800.0000076293945, 800.0000076293945, 800.0000076293945]"
alg2_reduced_complexity,8,0,0,1717699946554671638,0,10046150303,2331.407282,4067.590453,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[900.0000085830688, 900.0000085830688, 900.0000085830688]"
alg2_reduced_complexity,9,0,0,1717699957040114194,0,9996993179,3008.983517,3732.837912,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[1000.0000095367432, 1000.0000095367432, 1000.0000095367432]"
alg3_reduced_complexity,0,0,0,1717699969172375593,0,8629908580,2065.007817,3335.126217,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[100.00000095367432, 100.00000095367432, 100.00000095367432]"
alg3_reduced_complexity,1,0,0,1717699978289680660,0,7817200598,2134.493229,2848.910381,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[200.00000190734863, 200.00000190734863, 200.00000190734863]"
alg3_reduced_complexity,2,0,0,1717699986539254688,0,6789578915,1986.152301,2556.60127,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[300.00000286102295, 300.00000286102295, 300.00000286102295]"
alg3_reduced_complexity,3,0,0,1717699993761231719,0,6285931416,1972.497503,2594.565471,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[400.00000381469727, 400.00000381469727, 400.00000381469727]"
